ParName   Value   Gradient
rec_dev_est(2018)     -2.22156 -4.56969e-06
rec_dev_est(2019)     -2.05514  2.79859e-05
rec_dev_est(2020)     -2.26596 -1.45094e-05
rec_dev_est(2021)       -1.436 -0.000112146
rec_dev_est(2022)     -1.73926 -4.32159e-05
rec_dev_est(2023)     -2.37242 -1.50807e-05
logit_rec_prop_est(1975)     0.094152  0.000544005
logit_rec_prop_est(1976)    -0.754646  0.000573486
logit_rec_prop_est(1977)    -0.145247  0.000243978
logit_rec_prop_est(1978)    -0.323031  5.99484e-05
logit_rec_prop_est(1979)     0.259594   0.00034602
logit_rec_prop_est(1980)     0.424883  0.000582636
logit_rec_prop_est(1981)     0.503776  -0.00071212
logit_rec_prop_est(1982)     0.622485 -7.06604e-05
logit_rec_prop_est(1983)    0.0815527 -0.000475375
logit_rec_prop_est(1984)     0.415109  0.000234684
logit_rec_prop_est(1985)    -0.455193   -0.0010902
logit_rec_prop_est(1986)     0.227634  5.13182e-05
logit_rec_prop_est(1987)    -0.196552  0.000242222
logit_rec_prop_est(1988)     0.372137  9.81587e-05
logit_rec_prop_est(1989)   -0.0698569 -0.000839469
logit_rec_prop_est(1990)     0.187244 -8.39697e-05
logit_rec_prop_est(1991)     0.599074  0.000745394
logit_rec_prop_est(1992)     0.326303  0.000408232
logit_rec_prop_est(1993)     -1.38683  0.000845595
logit_rec_prop_est(1994)    -0.315213  -0.00177433
logit_rec_prop_est(1995)      1.39235   0.00056711
logit_rec_prop_est(1996)     0.179924  0.000729031
logit_rec_prop_est(1997)     0.515023  0.000419928
logit_rec_prop_est(1998)   -0.0811918 -0.000346139
logit_rec_prop_est(1999)     0.298723  0.000410278
logit_rec_prop_est(2000)    -0.730653  0.000417884
logit_rec_prop_est(2001)    -0.481016  -0.00150901
logit_rec_prop_est(2002)    -0.453254  0.000234592
logit_rec_prop_est(2003)    -0.086795  0.000226381
logit_rec_prop_est(2004)    -0.392368  -0.00145734
logit_rec_prop_est(2005)    -0.108388 -0.000659894
logit_rec_prop_est(2006)     0.437849  -0.00030268
logit_rec_prop_est(2007)    -0.126861 -4.01291e-05
logit_rec_prop_est(2008)    -0.538163 -0.000196577
logit_rec_prop_est(2009)    -0.695184  -0.00212484
logit_rec_prop_est(2010)    -0.430018  -0.00143768
logit_rec_prop_est(2011)    -0.589762 -0.000426992
logit_rec_prop_est(2012)    -0.157742 -0.000287876
logit_rec_prop_est(2013)    -0.482612   0.00015331
logit_rec_prop_est(2014)    -0.413832 -6.26356e-05
logit_rec_prop_est(2015)     0.248535  -0.00055198
logit_rec_prop_est(2016)     0.415829  0.000414413
logit_rec_prop_est(2017)     0.630206  0.000458904
logit_rec_prop_est(2018)    -0.213201  0.000768895
logit_rec_prop_est(2019)     0.502072   0.00088112
logit_rec_prop_est(2020)     0.417857  0.000894452
logit_rec_prop_est(2021)    0.0682527  0.000948874
logit_rec_prop_est(2022)    0.0173769  0.000837152
logit_rec_prop_est(2023)     0.389661  0.000804155
survey_q[1]     0.932159 -0.000152585
log_add_cv[2]     -1.01372 -1.88889e-05
